;D37 4H vs 1H;;;D37 6H vs 1H;;;D37 8H vs 1H;;;D37 16H vs 1H;;;D37 24H vs 1H;;;W37 4H vs 1H;;;W37 6H vs 1H;;;W37 8H vs 1H;;;W37 16H vs 1H;;;W37 24H vs 1H;
Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj
DRO_0018;0.583654426;0.015821284;DRO_0018;0.147407895;0.600616498;DRO_0018;0.133232324;0.651813792;DRO_0018;-0.469245018;0.182765163;DRO_0018;1.215586992;3.41E-08;DRO_0018;-0.076519777;0.792641309;DRO_0018;-0.35149686;0.268571263;DRO_0018;0.211662017;0.396711071;DRO_0018;0.08892455;0.716503504;DRO_0018;0.396637208;0.057706766
DRO_0019;1.005338315;2.62E-09;DRO_0019;0.812721901;1.84E-11;DRO_0019;1.299598727;1.77E-21;DRO_0019;0.133634406;0.606030494;DRO_0019;1.839589593;6.48E-49;DRO_0019;-0.070158018;0.661020389;DRO_0019;0.032007933;0.878321683;DRO_0019;0.436619054;0.001204446;DRO_0019;-0.557168604;6.99E-05;DRO_0019;0.841438486;3.93E-13
DRO_0020;0.977295444;1.31E-07;DRO_0020;0.489201978;0.0008357;DRO_0020;0.976227349;4.25E-12;DRO_0020;-0.030713382;0.875274785;DRO_0020;1.183689626;2.33E-16;DRO_0020;-0.09593429;0.573097469;DRO_0020;0.11102034;0.620607712;DRO_0020;0.570322698;7.30E-06;DRO_0020;-0.498084308;0.000236147;DRO_0020;0.24902528;0.037965107
DRO_0021;0.97244636;7.94E-12;DRO_0021;0.625302067;2.82E-06;DRO_0021;0.699370159;5.14E-07;DRO_0021;0.136529009;0.388292184;DRO_0021;-0.536645764;1.32E-05;DRO_0021;0.161318004;0.240329906;DRO_0021;0.219795447;0.174748723;DRO_0021;0.666098479;2.29E-08;DRO_0021;0.750852337;8.17E-09;DRO_0021;0.28230009;0.021066962
DRO_0022;0.69768212;5.39E-05;DRO_0022;0.401409787;5.74E-05;DRO_0022;0.369218696;0.021371714;DRO_0022;2.119033951;5.88E-24;DRO_0022;-0.018921823;0.899931127;DRO_0022;0.672506465;3.88E-10;DRO_0022;1.004358406;1.03E-12;DRO_0022;0.974898633;2.09E-14;DRO_0022;1.788684765;1.24E-48;DRO_0022;-1.055450726;3.37E-22
DRO_0023;0.581074076;0.000152548;DRO_0023;-0.175309267;0.189263852;DRO_0023;0.103660184;0.549159059;DRO_0023;-0.45420996;0.003654252;DRO_0023;-1.873648527;4.12E-36;DRO_0023;-0.235847883;0.034578017;DRO_0023;-0.558062924;0.002600334;DRO_0023;-0.78103453;1.33E-11;DRO_0023;-1.345721129;7.42E-24;DRO_0023;-2.410865277;3.22E-93
DRO_0024;-0.082601922;0.659772757;DRO_0024;-0.549938466;0.002656154;DRO_0024;-1.343638462;1.31E-08;DRO_0024;-0.961477851;2.26E-05;DRO_0024;-0.457169908;0.003814663;DRO_0024;0.352546664;0.051952091;DRO_0024;0.119782927;0.598412502;DRO_0024;-1.028418183;7.01E-06;DRO_0024;-0.752197776;0.000111515;DRO_0024;0.03041813;0.861800362
DRO_0025;-0.081825563;0.472032097;DRO_0025;-0.328659797;0.000575674;DRO_0025;-1.266335016;4.76E-22;DRO_0025;-1.861062242;9.83E-38;DRO_0025;-1.738603602;4.94E-51;DRO_0025;0.413146751;5.60E-05;DRO_0025;0.103927589;0.464102499;DRO_0025;-1.122176465;5.70E-29;DRO_0025;-1.339742237;1.30E-30;DRO_0025;-1.019439587;1.01E-28
DRO_0026;-0.226083065;0.067865637;DRO_0026;0.109685052;0.326923483;DRO_0026;0.779829792;2.68E-13;DRO_0026;1.833337493;5.64E-27;DRO_0026;0.772566419;2.21E-13;DRO_0026;0.382795229;0.000462161;DRO_0026;0.074934409;0.61680908;DRO_0026;0.616438968;8.44E-08;DRO_0026;1.721589426;1.64E-40;DRO_0026;0.75288053;9.35E-12
DRO_0027;-0.515697892;1.67E-05;DRO_0027;-0.996845554;1.04E-21;DRO_0027;-0.893490026;2.58E-11;DRO_0027;1.243664825;1.02E-21;DRO_0027;1.804898249;2.08E-60;DRO_0027;-0.157093092;0.309508205;DRO_0027;-0.617345807;0.001126626;DRO_0027;-0.678934171;6.00E-08;DRO_0027;0.717674013;1.16E-09;DRO_0027;1.559508904;4.45E-43
DRO_0028;0.229253701;0.028587232;DRO_0028;0.838968697;4.66E-23;DRO_0028;0.948817684;4.00E-13;DRO_0028;3.576204281;4.74E-187;DRO_0028;3.119274525;3.17E-204;DRO_0028;0.58748766;3.75E-10;DRO_0028;0.856453948;9.29E-13;DRO_0028;1.011219909;1.43E-26;DRO_0028;2.404908116;4.10E-116;DRO_0028;2.956825646;3.87E-267
DRO_0029;0.681642679;2.18E-07;DRO_0029;-0.049904652;0.75835922;DRO_0029;-0.954137223;2.62E-08;DRO_0029;-0.968741362;3.86E-07;DRO_0029;0.59545178;1.22E-05;DRO_0029;1.101877214;2.95E-18;DRO_0029;0.695517148;3.17E-05;DRO_0029;-0.015493869;0.91883702;DRO_0029;-0.332818454;0.027792386;DRO_0029;0.287423109;0.027770576
DRO_0030;-0.089895706;0.52790537;DRO_0030;-0.738717426;1.32E-09;DRO_0030;-0.814004805;6.00E-09;DRO_0030;-1.374810014;9.81E-10;DRO_0030;0.585481409;9.80E-06;DRO_0030;0.63933135;4.53E-08;DRO_0030;-0.459215713;0.006249999;DRO_0030;-1.021465458;1.43E-19;DRO_0030;0.467040531;0.000450821;DRO_0030;1.61915794;5.58E-38
DRO_0031;0.237919375;0.162475954;DRO_0031;-0.233506001;0.18639023;DRO_0031;-0.724787899;5.22E-05;DRO_0031;-1.198661252;1.66E-05;DRO_0031;0.829897612;2.45E-08;DRO_0031;0.659135376;8.51E-06;DRO_0031;-0.358101563;0.101636473;DRO_0031;-0.968286748;7.30E-09;DRO_0031;0.478255401;0.002533136;DRO_0031;1.788510678;9.34E-41
DRO_0032;0.099624073;0.599441185;DRO_0032;-0.503871193;0.005393262;DRO_0032;-0.909760598;2.27E-05;DRO_0032;-1.60612916;4.27E-10;DRO_0032;0.040199529;0.815081171;DRO_0032;0.258884758;0.135081508;DRO_0032;-1.061332494;9.33E-07;DRO_0032;-1.213916538;3.92E-10;DRO_0032;-0.64984812;0.000514141;DRO_0032;-0.06819014;0.69689962
DRO_0033;0.234837554;0.100529619;DRO_0033;-0.12886775;0.387743724;DRO_0033;-0.398696944;0.009686428;DRO_0033;-1.092465906;4.65E-08;DRO_0033;0.033216748;0.834477893;DRO_0033;0.496237937;1.66E-05;DRO_0033;-0.122622955;0.531354266;DRO_0033;-0.493189018;1.92E-05;DRO_0033;-0.277236762;0.026195963;DRO_0033;0.74347776;1.21E-12
DRO_0034;0.158680789;0.501923761;DRO_0034;0.461919803;0.02661393;DRO_0034;0.009319186;0.971332536;DRO_0034;-0.764237926;0.007252515;DRO_0034;-0.491619614;0.011016945;DRO_0034;0.495363403;0.01490839;DRO_0034;0.996029525;8.72E-07;DRO_0034;0.930818612;5.52E-08;DRO_0034;0.303602898;0.116619392;DRO_0034;0.391255807;0.034515176
DRO_0035;0.130907632;0.490038412;DRO_0035;-0.111513913;0.565157997;DRO_0035;-0.796163085;9.76E-05;DRO_0035;-0.817404044;0.00193716;DRO_0035;-0.538900031;0.001319742;DRO_0035;0.273266746;0.147971407;DRO_0035;0.027523436;0.924743196;DRO_0035;-0.053326638;0.785152681;DRO_0035;-0.183907088;0.317296676;DRO_0035;-0.339121078;0.047024144
