;D37 4H vs 1H;;;D37 6H vs 1H;;;D37 8H vs 1H;;;D37 16H vs 1H;;;D37 24H vs 1H;;;W37 4H vs 1H;;;W37 6H vs 1H;;;W37 8H vs 1H;;;W37 16H vs 1H;;;W37 24H vs 1H;
Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj
DRO_0368;0.329371129;0.018195003;DRO_0368;0.466307033;0.005150391;DRO_0368;-0.112275874;0.476510743;DRO_0368;0.175204169;0.510778706;DRO_0368;-0.435384606;0.001588711;DRO_0368;-0.174428756;0.263956345;DRO_0368;-0.896649621;2.97E-09;DRO_0368;-1.641177483;1.90E-36;DRO_0368;-0.86989863;4.48E-09;DRO_0368;-0.944266027;2.15E-09
DRO_0369;-0.123616935;0.363718262;DRO_0369;0.287248225;0.068084145;DRO_0369;-0.294257112;0.054397867;DRO_0369;0.125498869;0.442247131;DRO_0369;-0.923354604;3.64E-14;DRO_0369;-0.132012274;0.255007243;DRO_0369;-0.449048728;0.000585948;DRO_0369;-1.142944558;1.44E-23;DRO_0369;-0.053095838;0.666458216;DRO_0369;-1.008557378;3.63E-24
DRO_0370;0.69878299;0.052849478;DRO_0370;2.032860485;3.45E-08;DRO_0370;1.500605908;0.000181462;DRO_0370;1.43679574;4.56E-06;DRO_0370;-1.952490975;2.39E-18;DRO_0370;1.100127173;0.000822824;DRO_0370;1.704483873;7.77E-23;DRO_0370;0.560095138;8.69E-05;DRO_0370;0.610554366;8.41E-05;DRO_0370;-3.370668372;1.07E-118
DRO_0371;0.333365333;0.003372917;DRO_0371;0.564824499;1.38E-08;DRO_0371;0.495934969;0.00034198;DRO_0371;-0.217216117;0.16647282;DRO_0371;-1.407669117;7.35E-37;DRO_0371;0.536572185;0.000110109;DRO_0371;0.548635738;5.35E-06;DRO_0371;0.69158202;2.50E-09;DRO_0371;0.080649413;0.526314207;DRO_0371;-1.396153392;1.69E-38
DRO_0372;0.192229049;0.184448063;DRO_0372;-0.00542284;0.97132745;DRO_0372;-0.376927303;0.012924278;DRO_0372;-0.886932209;2.26E-06;DRO_0372;-0.720633896;2.01E-08;DRO_0372;0.26439791;0.037881764;DRO_0372;0.373968333;0.013984615;DRO_0372;0.511098079;1.59E-05;DRO_0372;-0.056620892;0.693824877;DRO_0372;-0.121434699;0.324885747
DRO_0373;0.406900095;0.004860878;DRO_0373;0.654185236;4.79E-08;DRO_0373;-0.222232664;0.129438653;DRO_0373;-0.395832363;0.069677809;DRO_0373;-1.43701663;4.78E-29;DRO_0373;-0.291476727;0.020845222;DRO_0373;-0.029659547;0.870220395;DRO_0373;-0.649496326;3.47E-06;DRO_0373;-0.62237702;3.69E-05;DRO_0373;-1.049747959;3.26E-17
DRO_0374;0.304286107;0.050939875;DRO_0374;0.286547231;0.027330286;DRO_0374;-0.641767317;1.77E-05;DRO_0374;-0.366077636;0.028826382;DRO_0374;-0.852325342;2.06E-08;DRO_0374;-0.446607595;0.000271645;DRO_0374;-0.837286915;1.05E-07;DRO_0374;-0.919169349;1.77E-14;DRO_0374;-0.464277794;0.000421712;DRO_0374;-0.480704852;1.58E-05
DRO_0376;-0.169175133;0.131558898;DRO_0376;-0.273712269;0.00571728;DRO_0376;-0.791735802;8.35E-12;DRO_0376;0.040956754;0.773981169;DRO_0376;0.06845397;0.579396054;DRO_0376;-0.231963562;0.052594475;DRO_0376;-0.441710147;0.013146911;DRO_0376;-0.244208933;0.036877633;DRO_0376;0.444906616;0.000883249;DRO_0376;-0.221118454;0.045845188
DRO_0377;0.206939713;0.156769835;DRO_0377;-0.204489019;0.093939669;DRO_0377;-0.052882429;0.716828283;DRO_0377;0.645231098;9.78E-05;DRO_0377;0.806411518;5.65E-11;DRO_0377;0.488858956;7.95E-06;DRO_0377;0.20188816;0.139477686;DRO_0377;-0.160868283;0.162920045;DRO_0377;0.185307817;0.123713209;DRO_0377;0.620228213;3.28E-11
DRO_0378;-0.144049644;0.205387955;DRO_0378;-0.197880835;0.059179847;DRO_0378;0.023823506;0.871051086;DRO_0378;0.572926113;3.62E-06;DRO_0378;0.631351728;3.29E-09;DRO_0378;-0.104968553;0.403655774;DRO_0378;0.134896293;0.407622387;DRO_0378;0.612510862;2.23E-09;DRO_0378;0.526029844;2.92E-05;DRO_0378;0.57487369;6.40E-07
DRO_0379;-0.210488338;0.162700631;DRO_0379;-0.079822604;0.508626148;DRO_0379;0.009396478;0.956062334;DRO_0379;-0.469004742;0.003341826;DRO_0379;0.374927352;0.001637737;DRO_0379;0.285574584;0.007089423;DRO_0379;0.076909638;0.639150516;DRO_0379;0.515215024;3.15E-07;DRO_0379;-0.307139089;0.010637197;DRO_0379;-0.001334295;0.9910189
DRO_0380;-0.635634505;1.72E-08;DRO_0380;-0.722817663;2.60E-12;DRO_0380;-0.457898718;0.001598573;DRO_0380;-0.787281431;6.09E-07;DRO_0380;-1.269568127;1.90E-20;DRO_0380;-0.681448222;4.04E-09;DRO_0380;-0.889483599;2.48E-10;DRO_0380;0.040073816;0.736822015;DRO_0380;-0.648891044;1.91E-07;DRO_0380;-1.024116302;1.91E-20
DRO_0381;-0.55551733;2.44E-06;DRO_0381;-0.708110256;7.12E-09;DRO_0381;-0.471698235;0.001155198;DRO_0381;-1.176298497;1.44E-11;DRO_0381;-1.456955983;4.93E-28;DRO_0381;-0.614861368;1.50E-06;DRO_0381;-0.807687425;2.31E-05;DRO_0381;-0.006536786;0.963294662;DRO_0381;-0.74572602;3.95E-07;DRO_0381;-0.719763567;6.30E-08
DRO_0382;-0.329428651;0.009406623;DRO_0382;-0.4954569;1.61E-07;DRO_0382;-0.189465825;0.122564598;DRO_0382;0.83712208;4.06E-09;DRO_0382;-1.394329113;5.74E-28;DRO_0382;-0.481729474;2.45E-07;DRO_0382;-0.575792431;0.000129837;DRO_0382;-0.253523996;0.006994124;DRO_0382;-0.426441855;0.000210303;DRO_0382;-0.822287151;4.17E-19
DRO_0383;-0.586065988;6.29E-07;DRO_0383;0.005709211;0.97132745;DRO_0383;-0.231574738;0.189688078;DRO_0383;0.667145659;0.015344222;DRO_0383;-0.204416047;0.221811536;DRO_0383;0.62791578;8.29E-12;DRO_0383;-0.340858138;0.041582883;DRO_0383;-0.492745841;8.03E-06;DRO_0383;-0.782326315;1.97E-12;DRO_0383;-1.808751353;1.08E-73
DRO_0384;-0.430537916;0.010978254;DRO_0384;-0.276571456;0.076116714;DRO_0384;-0.47016728;0.010055129;DRO_0384;0.290509893;0.10453101;DRO_0384;-0.612950359;0.000156407;DRO_0384;-0.418328409;0.009274011;DRO_0384;-0.427648993;0.016495523;DRO_0384;-0.179235392;0.233333435;DRO_0384;-0.325178427;0.041318445;DRO_0384;-1.050374974;1.18E-08
DRO_0385;0.014609435;0.94175556;DRO_0385;0.237897547;0.155746941;DRO_0385;0.376327791;0.036200805;DRO_0385;1.670649823;1.41E-18;DRO_0385;0.725887885;6.18E-05;DRO_0385;0.286542679;0.059342408;DRO_0385;0.537279415;0.007563106;DRO_0385;0.640622876;2.02E-05;DRO_0385;1.217571087;2.74E-17;DRO_0385;0.761473867;3.33E-09
DRO_0386;0.592713572;4.25E-08;DRO_0386;0.933137662;9.76E-23;DRO_0386;0.776804568;2.13E-12;DRO_0386;2.179867412;4.17E-68;DRO_0386;0.742937954;6.92E-10;DRO_0386;0.659433538;5.38E-11;DRO_0386;0.847688422;1.92E-12;DRO_0386;0.900475322;4.02E-23;DRO_0386;1.335236783;2.34E-35;DRO_0386;0.681324821;1.64E-11
DRO_0387;0.344945574;0.021724323;DRO_0387;1.125326787;4.25E-16;DRO_0387;0.757001222;2.55E-06;DRO_0387;0.400957872;0.025343974;DRO_0387;0.399245372;0.004418481;DRO_0387;0.178820979;0.179762323;DRO_0387;0.823805611;0.000113258;DRO_0387;1.181630554;1.02E-19;DRO_0387;1.101427658;5.11E-18;DRO_0387;0.934948251;3.97E-18
DRO_0388;0.165404866;0.324344041;DRO_0388;0.476953352;0.001561621;DRO_0388;0.564776866;0.037906567;DRO_0388;0.230267154;0.417647984;DRO_0388;0.68740301;3.63E-05;DRO_0388;0.323222311;0.041057798;DRO_0388;0.875430462;7.67E-06;DRO_0388;0.862808096;7.06E-08;DRO_0388;1.187498306;3.82E-17;DRO_0388;0.900318181;8.77E-11
DRO_0389;-0.682992676;4.67E-06;DRO_0389;-0.840059779;7.97E-07;DRO_0389;-0.836033825;2.19E-05;DRO_0389;-0.881661195;2.00E-05;DRO_0389;-1.6912921;1.14E-27;DRO_0389;0.29531044;0.136126116;DRO_0389;0.268947018;0.328248069;DRO_0389;0.484660807;0.021365524;DRO_0389;1.118905798;4.85E-11;DRO_0389;0.228024982;0.212143841
DRO_0390;-0.650517526;3.38E-13;DRO_0390;-0.942554068;6.07E-27;DRO_0390;-0.872318291;4.72E-14;DRO_0390;-1.232716666;1.58E-19;DRO_0390;-2.319754833;5.87E-131;DRO_0390;0.00443499;0.972004394;DRO_0390;0.217994523;0.141525387;DRO_0390;0.467263108;5.00E-06;DRO_0390;0.498079291;8.45E-06;DRO_0390;-0.65580524;1.32E-12
DRO_0391;-0.38545035;0.15620256;DRO_0391;-0.551580082;0.054507688;DRO_0391;-0.208925926;0.494642631;DRO_0391;0.576542026;0.07203107;DRO_0391;0.059660109;0.827351388;DRO_0391;-0.281472948;0.330903073;DRO_0391;0.144342555;0.633158412;DRO_0391;0.079920449;0.755160226;DRO_0391;0.634690928;0.0118902;DRO_0391;1.016767774;2.02E-06
DRO_0392;0.352651345;0.00935486;DRO_0392;1.953221038;1.72E-58;DRO_0392;2.299669751;2.32E-72;DRO_0392;1.95421543;2.13E-20;DRO_0392;2.685743574;2.32E-90;DRO_0392;0.508555701;3.30E-05;DRO_0392;0.034950951;0.832796884;DRO_0392;-0.28393403;0.009264534;DRO_0392;1.721864635;1.04E-49;DRO_0392;2.839944576;9.17E-167
DRO_0393;-0.028095768;0.917701601;DRO_0393;-0.215515085;0.397887045;DRO_0393;0.173271603;0.507173194;DRO_0393;0.042191525;0.898793492;DRO_0393;1.793956939;1.54E-23;DRO_0393;0.120204802;0.656346655;DRO_0393;-0.025380675;0.938288142;DRO_0393;0.220816478;0.371866108;DRO_0393;1.095677482;1.70E-07;DRO_0393;3.858164926;9.05E-151
DRO_0394;0.97337277;3.30E-06;DRO_0394;1.197673691;6.34E-09;DRO_0394;1.321845397;6.83E-09;DRO_0394;1.972671706;5.69E-16;DRO_0394;2.415937265;4.08E-39;DRO_0394;0.116207197;0.640394513;DRO_0394;0.899627025;4.72E-05;DRO_0394;1.138101003;1.64E-09;DRO_0394;1.365072432;6.60E-14;DRO_0394;2.141404955;2.44E-39
DRO_0395;0.262427839;0.11013264;DRO_0395;1.5283295;1.37E-18;DRO_0395;2.062187527;2.67E-42;DRO_0395;2.488835969;2.17E-35;DRO_0395;1.733471582;2.83E-36;DRO_0395;-0.55105483;0.000276216;DRO_0395;0.214759929;0.334370461;DRO_0395;0.843307518;1.16E-09;DRO_0395;1.518040127;9.28E-30;DRO_0395;1.809075519;1.48E-54
DRO_0396;0.294407274;0.015376961;DRO_0396;1.143624523;2.86E-24;DRO_0396;1.835051439;3.52E-58;DRO_0396;1.558595935;1.98E-23;DRO_0396;0.549840973;1.40E-06;DRO_0396;0.122469194;0.386029134;DRO_0396;0.339367002;0.034236552;DRO_0396;1.337274867;7.55E-30;DRO_0396;0.913680513;3.00E-12;DRO_0396;0.505062251;1.91E-05
DRO_0397;-0.328931011;0.004689114;DRO_0397;-0.510187232;1.82E-06;DRO_0397;-0.482690193;0.000212057;DRO_0397;-0.481121041;0.003645809;DRO_0397;-0.308865771;0.006660054;DRO_0397;0.080123124;0.623000666;DRO_0397;0.16946922;0.330404022;DRO_0397;0.599550022;7.51E-06;DRO_0397;0.083223004;0.58028733;DRO_0397;-0.334746727;0.009267973
DRO_0398;-0.373654988;0.007410145;DRO_0398;-0.35090971;0.014664913;DRO_0398;-0.373191686;0.015726943;DRO_0398;-0.746612821;6.13E-05;DRO_0398;-0.631510485;2.17E-06;DRO_0398;-0.295969701;0.033536838;DRO_0398;-0.038115026;0.841211184;DRO_0398;0.210672049;0.115643153;DRO_0398;-0.581378608;2.37E-05;DRO_0398;-0.258971648;0.035669313
DRO_0399;-0.048837736;0.816313062;DRO_0399;0.345183043;0.004046231;DRO_0399;-0.112225472;0.606831919;DRO_0399;-0.671915167;0.000237057;DRO_0399;-0.862238127;2.19E-14;DRO_0399;-0.216401361;0.10396511;DRO_0399;-0.540818629;0.012387884;DRO_0399;-1.202470221;1.36E-21;DRO_0399;-1.977632739;4.03E-41;DRO_0399;-1.325141987;1.17E-24
DRO_0400;-0.009872105;0.94175556;DRO_0400;0.0940851;0.300851134;DRO_0400;0.045070314;0.716969624;DRO_0400;1.146506213;8.93E-16;DRO_0400;0.470789933;5.48E-05;DRO_0400;0.310500572;0.001218637;DRO_0400;0.212900002;0.099990841;DRO_0400;0.492064016;6.92E-08;DRO_0400;0.460072803;2.52E-05;DRO_0400;0.878232102;4.77E-26
DRO_0401;-0.355751662;0.052018626;DRO_0401;-0.68500456;0.000154314;DRO_0401;-1.150995127;6.12E-08;DRO_0401;-0.060128603;0.867929424;DRO_0401;-0.109660705;0.504998191;DRO_0401;0.485936748;0.004252852;DRO_0401;0.632032549;0.001564934;DRO_0401;0.603371277;0.000304717;DRO_0401;0.2676542;0.125466878;DRO_0401;0.189187102;0.304837688
DRO_0402;-0.277061795;0.039634291;DRO_0402;-0.566153742;1.17E-05;DRO_0402;-0.777620695;1.34E-07;DRO_0402;-0.779531204;5.36E-06;DRO_0402;-0.409004919;0.002259138;DRO_0402;0.461069376;0.001731405;DRO_0402;0.981107823;5.66E-08;DRO_0402;1.259619794;5.12E-21;DRO_0402;0.334088107;0.02387547;DRO_0402;0.11991938;0.367514014
DRO_0403;0.477569463;0.025633856;DRO_0403;1.999173662;5.67E-18;DRO_0403;2.153495095;1.36E-23;DRO_0403;4.760138367;1.39E-81;DRO_0403;1.865925869;1.10E-18;DRO_0403;1.041468066;1.45E-09;DRO_0403;1.641568795;5.21E-12;DRO_0403;1.479910317;7.63E-21;DRO_0403;3.327802076;3.84E-88;DRO_0403;0.997302231;1.61E-09
DRO_0404;-0.215834123;0.109705011;DRO_0404;-0.821778488;5.10E-11;DRO_0404;-0.680521263;7.49E-07;DRO_0404;-0.427587471;0.004906721;DRO_0404;0.723985921;8.34E-09;DRO_0404;-0.033656629;0.811465408;DRO_0404;-0.555903248;9.28E-05;DRO_0404;-0.848948199;7.39E-15;DRO_0404;-0.790815907;2.48E-10;DRO_0404;0.22970791;0.03805791
DRO_0405;0.496832802;0.004721974;DRO_0405;0.157847063;0.34908903;DRO_0405;-0.83379899;0.000172278;DRO_0405;0.017410108;0.95167389;DRO_0405;0.612690813;6.09E-05;DRO_0405;1.212580121;1.75E-14;DRO_0405;1.084297713;8.67E-09;DRO_0405;0.469761561;0.011778825;DRO_0405;0.1070516;0.578395598;DRO_0405;0.640589202;8.35E-05
DRO_0406;0.450864542;0.069677419;DRO_0406;2.06646394;9.47E-17;DRO_0406;1.521287814;9.12E-10;DRO_0406;2.793390331;1.38E-26;DRO_0406;1.136820686;1.82E-07;DRO_0406;1.142380127;9.26E-11;DRO_0406;1.575604436;6.24E-16;DRO_0406;0.925320447;7.46E-08;DRO_0406;2.023148173;3.73E-34;DRO_0406;2.257876157;9.36E-53
DRO_0407;0.873811532;7.90E-05;DRO_0407;2.677553904;4.61E-35;DRO_0407;2.772099504;7.31E-38;DRO_0407;3.168289284;9.20E-32;DRO_0407;0.233058636;0.281078596;DRO_0407;1.30886145;4.12E-14;DRO_0407;2.195423461;7.69E-16;DRO_0407;1.690739563;3.18E-25;DRO_0407;1.846730977;1.80E-25;DRO_0407;0.504151999;0.002996187
DRO_0408;0.208905621;0.292149648;DRO_0408;0.734198973;4.95E-05;DRO_0408;-0.027206614;0.909862843;DRO_0408;0.055014418;0.829200737;DRO_0408;0.545828555;0.001789114;DRO_0408;0.358018419;0.068196782;DRO_0408;0.814796359;4.81E-05;DRO_0408;0.88014945;5.47E-07;DRO_0408;0.601434159;0.000722946;DRO_0408;0.224431609;0.200102653
DRO_0409;-0.15733256;0.304248527;DRO_0409;-0.130515832;0.366380799;DRO_0409;-0.319682156;0.039228801;DRO_0409;-0.272092346;0.148753431;DRO_0409;1.151781325;5.08E-20;DRO_0409;-0.012518118;0.942961692;DRO_0409;0.22744225;0.180568891;DRO_0409;0.345189735;0.008284573;DRO_0409;0.74986897;2.52E-08;DRO_0409;1.303648879;2.96E-24
DRO_0410;-0.547101266;0.000100596;DRO_0410;-0.612862448;8.20E-05;DRO_0410;-1.026664803;1.49E-09;DRO_0410;-0.840626885;4.17E-06;DRO_0410;0.876442879;9.64E-12;DRO_0410;0.107030688;0.48815511;DRO_0410;0.23802446;0.132830228;DRO_0410;0.149565376;0.255966848;DRO_0410;0.510661719;0.000238175;DRO_0410;0.910784962;1.13E-16
DRO_0411;-0.372980345;0.29033023;DRO_0411;-0.323397367;0.445820863;DRO_0411;-0.254652587;0.563418865;DRO_0411;-1.509501369;0.004507359;DRO_0411;0.111526054;0.750318522;DRO_0411;0.184750487;0.642073569;DRO_0411;0.48787587;0.213572717;DRO_0411;-0.109756157;0.767380794;DRO_0411;-0.742075957;0.061869243;DRO_0411;-0.33110916;0.320707189
DRO_0412;-0.516093606;0.00336732;DRO_0412;0.007770421;0.970237008;DRO_0412;-1.072461874;6.45E-07;DRO_0412;-1.12995893;1.57E-06;DRO_0412;0.464822731;0.00256244;DRO_0412;0.284901148;0.145208356;DRO_0412;0.384320921;0.069186365;DRO_0412;-0.577656885;0.005856745;DRO_0412;-0.069583008;0.750537438;DRO_0412;0.24216932;0.189002528
DRO_0413;-0.281625184;0.0291471;DRO_0413;-0.161450746;0.259001534;DRO_0413;-0.845388871;3.91E-09;DRO_0413;-0.810100981;4.54E-07;DRO_0413;0.442939936;0.000796399;DRO_0413;0.689236411;1.23E-09;DRO_0413;0.580157713;5.42E-05;DRO_0413;0.122617512;0.321955406;DRO_0413;0.179656774;0.166693525;DRO_0413;0.337353342;0.001909705
DRO_0414;0.747021882;4.81E-07;DRO_0414;2.317569742;8.75E-43;DRO_0414;3.284357683;4.51E-67;DRO_0414;4.042737556;1.58E-35;DRO_0414;1.358608388;2.51E-12;DRO_0414;0.416569628;0.024898872;DRO_0414;0.952036832;4.73E-06;DRO_0414;1.313416734;1.55E-13;DRO_0414;1.027426441;3.27E-11;DRO_0414;0.79209667;8.22E-07
DRO_0415;0.323803813;0.281076397;DRO_0415;1.256430468;9.71E-08;DRO_0415;2.36818764;1.76E-27;DRO_0415;3.350426462;3.28E-45;DRO_0415;2.122520994;1.65E-20;DRO_0415;0.264065059;0.430362881;DRO_0415;0.574284573;0.083664587;DRO_0415;1.080721195;1.04E-05;DRO_0415;1.678976569;6.75E-12;DRO_0415;2.391335356;1.64E-34
DRO_0416;0.64859215;8.63E-06;DRO_0416;1.487080283;7.23E-27;DRO_0416;2.133500557;9.08E-38;DRO_0416;3.531149292;1.11E-44;DRO_0416;1.905751545;2.15E-23;DRO_0416;0.257221886;0.062083786;DRO_0416;0.689251363;0.015281736;DRO_0416;0.812260693;4.83E-06;DRO_0416;1.303996961;1.49E-21;DRO_0416;1.035227498;4.64E-24
DRO_0417;-0.456490142;0.004786276;DRO_0417;-0.238932764;0.132768006;DRO_0417;0.413052218;0.015246386;DRO_0417;1.921025653;2.41E-30;DRO_0417;1.081910669;6.17E-17;DRO_0417;-0.231760989;0.17364272;DRO_0417;-0.530818187;0.008963265;DRO_0417;0.139575156;0.38127078;DRO_0417;0.869800224;4.70E-09;DRO_0417;0.879748259;9.76E-10
DRO_0418;-0.411615534;0.000501269;DRO_0418;-0.330547593;0.003104967;DRO_0418;-0.244745551;0.061372624;DRO_0418;1.294451345;8.12E-17;DRO_0418;1.008718796;7.69E-19;DRO_0418;-0.030331159;0.820953609;DRO_0418;-0.195760265;0.197462108;DRO_0418;-0.293322746;0.010421907;DRO_0418;0.648886799;2.04E-07;DRO_0418;1.1209028;1.19E-30
DRO_0419;1.352436384;2.27E-14;DRO_0419;3.081382696;2.46E-50;DRO_0419;3.169556746;2.37E-44;DRO_0419;3.414664118;4.24E-33;DRO_0419;0.3200496;0.085123552;DRO_0419;0.959140304;0.003197858;DRO_0419;2.130084495;3.67E-28;DRO_0419;1.951758024;1.81E-44;DRO_0419;2.120891784;1.07E-52;DRO_0419;-0.565326864;2.13E-05
DRO_0420;1.786209914;1.75E-49;DRO_0420;2.333665084;2.89E-95;DRO_0420;2.40168148;2.78E-56;DRO_0420;1.174003157;3.03E-18;DRO_0420;0.937095269;9.64E-16;DRO_0420;-0.776333165;1.17E-06;DRO_0420;-1.376776161;1.12E-11;DRO_0420;-1.131737598;1.60E-11;DRO_0420;-0.530690993;0.001219753;DRO_0420;-0.21664344;0.142143949
DRO_0421;3.123000196;5.96E-170;DRO_0421;4.392112913;0;DRO_0421;5.01264653;0;DRO_0421;4.975789179;8.03E-157;DRO_0421;2.47454408;5.23E-92;DRO_0421;0.283129026;0.073686651;DRO_0421;-0.031198818;0.879254706;DRO_0421;-0.055845316;0.770386206;DRO_0421;-0.508369009;0.000672257;DRO_0421;-0.390124303;0.004221156
DRO_0422;1.056560579;1.40E-06;DRO_0422;1.620729336;2.58E-18;DRO_0422;1.62783672;2.53E-14;DRO_0422;1.65155993;0.01660096;DRO_0422;1.139199042;3.21E-08;DRO_0422;-0.480922293;0.033631031;DRO_0422;-0.667076971;0.013535978;DRO_0422;-0.275123993;0.22284679;DRO_0422;-0.064904769;0.770663069;DRO_0422;-0.741969779;0.000223428
DRO_0423;0.203560483;0.224917224;DRO_0423;0.21222061;0.177108454;DRO_0423;0.006523684;0.973889113;DRO_0423;0.44282545;0.217552597;DRO_0423;0.865887555;2.55E-09;DRO_0423;-0.349500058;0.032380211;DRO_0423;-0.322240483;0.097254982;DRO_0423;-0.399220957;0.020552254;DRO_0423;0.216588779;0.166501502;DRO_0423;0.352451882;0.008589705
DRO_0424;0.59590001;2.07E-07;DRO_0424;0.35695268;0.009156292;DRO_0424;-0.517218813;0.000267839;DRO_0424;-0.16869627;0.565342147;DRO_0424;0.281683941;0.016757531;DRO_0424;0.790606725;5.92E-10;DRO_0424;0.305643642;0.096971872;DRO_0424;-0.40812173;0.001511557;DRO_0424;0.194347666;0.141234243;DRO_0424;0.335183785;0.005857369
DRO_0425;-1.339860985;8.99E-36;DRO_0425;-1.719830555;3.79E-110;DRO_0425;-1.616285631;1.90E-43;DRO_0425;-0.790383447;1.65E-09;DRO_0425;-2.201413667;9.20E-125;DRO_0425;-1.182313818;2.66E-26;DRO_0425;-2.009854743;1.23E-47;DRO_0425;-2.14168672;7.36E-84;DRO_0425;-1.410351862;4.06E-37;DRO_0425;-2.47229206;3.73E-123
DRO_0426;-0.08021809;0.675779481;DRO_0426;-0.295927025;0.099204682;DRO_0426;-0.814196887;0.00019577;DRO_0426;-0.151321285;0.498880032;DRO_0426;0.524690855;0.000977978;DRO_0426;0.025703989;0.926523855;DRO_0426;-0.555819778;0.014523575;DRO_0426;-1.284388307;5.55E-10;DRO_0426;0.792293745;1.36E-06;DRO_0426;0.938638816;5.91E-10
DRO_0427;0.536266796;0.000159251;DRO_0427;1.188374949;6.38E-26;DRO_0427;0.90271293;7.17E-12;DRO_0427;1.204032522;1.01E-17;DRO_0427;0.374503424;0.018332891;DRO_0427;0.717583182;1.23E-11;DRO_0427;0.916841942;3.69E-12;DRO_0427;0.707602647;5.04E-14;DRO_0427;0.795881504;2.24E-12;DRO_0427;0.536208987;2.46E-07
DRO_0428;0.701033026;1.71E-05;DRO_0428;1.285671357;8.25E-14;DRO_0428;0.910880599;1.05E-07;DRO_0428;0.243981764;0.242619385;DRO_0428;0.588934021;0.000202965;DRO_0428;0.346909544;0.014594168;DRO_0428;1.051231946;1.56E-10;DRO_0428;0.780764934;1.26E-09;DRO_0428;0.701240342;1.57E-06;DRO_0428;1.268305111;4.82E-27
DRO_0429;0.179578621;0.36036448;DRO_0429;0.774439611;2.64E-06;DRO_0429;0.586532911;0.002437245;DRO_0429;0.465773132;0.039788459;DRO_0429;0.864745303;5.74E-08;DRO_0429;0.458982324;0.006326534;DRO_0429;0.810507185;5.89E-06;DRO_0429;0.909020475;3.99E-09;DRO_0429;1.380516017;5.66E-21;DRO_0429;1.758505133;2.43E-39
DRO_0430;0.919501094;2.42E-16;DRO_0430;2.009267096;5.10E-100;DRO_0430;1.966121472;1.13E-49;DRO_0430;4.339680582;1.22E-233;DRO_0430;2.558357289;7.96E-125;DRO_0430;0.58256774;1.63E-06;DRO_0430;0.891984139;8.46E-07;DRO_0430;1.037240173;1.13E-18;DRO_0430;2.391905712;5.56E-87;DRO_0430;1.218764391;4.54E-26
DRO_0431;1.316151924;7.13E-05;DRO_0431;2.249957229;5.17E-12;DRO_0431;2.54913285;6.44E-15;DRO_0431;5.051708886;5.84E-57;DRO_0431;3.885473561;2.24E-40;DRO_0431;0.437002261;0.219501578;DRO_0431;0.959815809;0.063031888;DRO_0431;1.189285253;0.000846739;DRO_0431;2.514551148;8.00E-22;DRO_0431;2.004862006;3.11E-13
DRO_0432;-0.336390386;0.012029684;DRO_0432;-0.333796658;0.006384874;DRO_0432;0.179309185;0.219828628;DRO_0432;3.713832373;4.65E-122;DRO_0432;3.153336045;2.12E-128;DRO_0432;-0.624388655;2.04E-06;DRO_0432;-0.98967794;4.93E-10;DRO_0432;-0.821635803;2.11E-10;DRO_0432;1.187215174;3.31E-20;DRO_0432;1.670361105;8.15E-60
DRO_0433;-0.480471538;4.91E-06;DRO_0433;-0.384698207;1.21E-06;DRO_0433;-0.280399987;0.012701666;DRO_0433;-0.478051151;2.36E-05;DRO_0433;-0.856893409;1.04E-14;DRO_0433;-0.186022688;0.09192266;DRO_0433;-0.46253466;0.001103978;DRO_0433;-1.071389848;5.24E-27;DRO_0433;-2.115423781;4.63E-76;DRO_0433;-1.950335506;7.92E-93
DRO_0434;-0.074794902;0.676677614;DRO_0434;0.187420078;0.203553836;DRO_0434;0.448163809;0.004283571;DRO_0434;0.050576632;0.801872444;DRO_0434;-0.623123631;0.000740123;DRO_0434;-0.212117081;0.203091708;DRO_0434;-0.268145811;0.193366865;DRO_0434;-0.699011224;2.83E-06;DRO_0434;-2.069804616;8.03E-47;DRO_0434;-1.479647883;5.56E-29
DRO_0435;-0.065364485;0.722063968;DRO_0435;0.359748095;6.79E-05;DRO_0435;0.534495269;0.000881135;DRO_0435;0.227945984;0.28028682;DRO_0435;-0.817619528;3.60E-10;DRO_0435;0.127343611;0.294482694;DRO_0435;0.032595514;0.851904631;DRO_0435;0.033479416;0.770529048;DRO_0435;-1.324071297;6.21E-23;DRO_0435;-1.338748801;9.65E-30
DRO_0436;1.844629824;2.84E-38;DRO_0436;2.372048386;5.49E-80;DRO_0436;2.237057065;6.79E-26;DRO_0436;4.131299754;1.63E-45;DRO_0436;0.894198578;5.22E-06;DRO_0436;2.022242832;7.24E-34;DRO_0436;2.027357559;8.61E-25;DRO_0436;1.987851213;1.75E-35;DRO_0436;2.184210463;4.81E-83;DRO_0436;0.157988371;0.181188683
