"Gene","FC_sup_2.5_D37","FC_sup_1.5_D37","FC_sup_2_4fois_D37","FC_inf_1.5_W37","FC_inf_1_4fois_W37","Significatif_diff","Associated","Reference","Associated_region","Condition","Passe_Filtre","L2","L3","L4","article"
"DRO_0059",0,0,FALSE,5,TRUE,-1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0060",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0061",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0062",0,0,FALSE,5,TRUE,1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0063",2,2,FALSE,3,FALSE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0064",2,4,FALSE,2,FALSE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0065",1,2,FALSE,3,FALSE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0066",0,0,FALSE,5,FALSE,-1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0067",0,0,FALSE,5,FALSE,-2,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0068",0,0,FALSE,5,TRUE,-1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0069",0,0,FALSE,5,TRUE,1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0070",3,4,FALSE,5,TRUE,5,FALSE,TRUE,"NOT",1,TRUE,0,0,0,0
"DRO_0071",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0072",0,0,FALSE,5,TRUE,1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0073",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0074",0,1,FALSE,5,TRUE,1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0075",0,0,FALSE,5,TRUE,2,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0076",0,0,FALSE,5,TRUE,-1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0077",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0078",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0079",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0080",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0081",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0082",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0083",0,1,FALSE,5,TRUE,1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0084",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0085",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0086",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0087",0,0,FALSE,5,TRUE,1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0088",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0089",0,0,FALSE,5,TRUE,-1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0090",0,0,FALSE,5,TRUE,1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0091",0,0,FALSE,4,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0092",0,1,FALSE,4,FALSE,-1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0093",0,0,FALSE,5,FALSE,-1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0094",0,0,FALSE,4,FALSE,-2,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0095",0,0,FALSE,4,FALSE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0096",0,1,FALSE,2,FALSE,-1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0097",0,0,FALSE,5,FALSE,-2,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0098",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0099",0,1,FALSE,5,TRUE,2,FALSE,TRUE,"NOT",-2,FALSE,0,0,0,0
"DRO_0100",0,2,FALSE,5,TRUE,2,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0101",0,1,FALSE,5,TRUE,2,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0102",0,1,FALSE,4,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0103",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
